지역코드	지역명	2차 지역코드	1차 지역코드
211208	기후	211200	210000
211209	나가노	211200	210000
211210	나가사키	211200	210000
211211	나라	211200	210000
211212	니이가타	211200	210000
211213	도치기	211200	210000
211214	도쿄	211200	210000
211215	도쿠시마	211200	210000
211216	돗토리	211200	210000
211217	미야기-센다이	211200	210000
211218	미야자키	211200	210000
211219	미에	211200	210000
211220	사가	211200	210000
211221	사이타마	211200	210000
211222	시가	211200	210000
211223	시마네	211200	210000
211224	시즈오카	211200	210000
211225	아오모리	211200	210000
211226	아이치-나고야	211200	210000
211227	아키타	211200	210000
211228	야마가타	211200	210000
211229	야마구치	211200	210000
211230	야마나시	211200	210000
211231	에히메	211200	210000
211232	오사카	211200	210000
211233	오이타	211200	210000
211234	오카야마	211200	210000
211235	오키나와	211200	210000
211236	와카야마	211200	210000
211237	이바라키	211200	210000
211238	이시카와	211200	210000
211239	이와테	211200	210000
211240	치바	211200	210000
211241	카나가와-요코하마	211200	210000
211242	토야마	211200	210000
211243	효고	211200	210000
211244	후쿠시마	211200	210000
211245	후쿠오카	211200	210000
211246	후쿠이	211200	210000
211247	훗카이도	211200	210000
211248	히로시마	211200	210000
211249	도야마	211200	210000
211299	일본기타	211200	210000
211300	중국.홍콩	211300	210000
211301	북경	211300	210000
211302	천진	211300	210000
211303	상해	211300	210000
211304	중경	211300	210000
211305	홍콩	211300	210000
211306	마카오	211300	210000
211307	감숙성	211300	210000
211308	강서성	211300	210000
211309	강소성	211300	210000
211310	광동성	211300	210000
211311	귀주성	211300	210000
211312	길림성	211300	210000
211313	복건성	211300	210000
211314	사천성	211300	210000
211315	산동성	211300	210000
211316	산서성	211300	210000
211317	섬서성	211300	210000
211318	안휘성	211300	210000
211319	요녕성	211300	210000
211320	운남성	211300	210000
211321	절강성	211300	210000
211322	청해성	211300	210000
211323	하남성	211300	210000
211324	하북성	211300	210000
211325	해남성	211300	210000
211326	호남성	211300	210000
211327	호북성	211300	210000
211328	흑룡강성	211300	210000
211399	중국.홍콩 기타	211300	210000
211400	캄보디아	211400	210000
211500	태국	211500	210000
211600	필리핀	211600	210000
211700	그루지아	211700	210000
211800	네팔	211800	210000
212000	라오스	212000	210000
212100	레바논	212100	210000
212300	몰디브	212300	210000
212400	바레인	212400	210000
212600	부탄	212600	210000
212700	북한	212700	210000
212800	브루나이	212800	210000
212900	시리아	212900	210000
213000	아랍에미레이트연합국	213000	210000
213100	아프가니스탄	213100	210000
213200	영국령 인도양식민지	213200	210000
213300	예멘	213300	210000
213400	오만	213400	210000
213500	요르단	213500	210000
213600	우즈베키스탄	213600	210000
213700	이라크	213700	210000
213800	이란	213800	210000
213900	카자흐스탄	213900	210000
214000	카타르	214000	210000
214100	쿠웨이트	214100	210000
214200	타지키스탄	214200	210000
214300	투르크메니스탄	214300	210000
214400	동티모르	214400	210000
214500	파키스탄	214500	210000
214600	키르기즈스탄	214600	210000
214700	아르메니아	214700	210000
214800	아제르바이잔	214800	210000
219900	아시아·중동기타	219900	210000
220000	북·중미전체	220000	220000
220100	멕시코	220100	220000
220200	미국	220200	220000
220201	네바다주	220200	220000
220202	네브래스카주	220200	220000
220203	노스다코타주	220200	220000
220204	노스캐롤라이나주	220200	220000
220205	뉴멕시코주	220200	220000
220206	뉴욕	220200	220000
220207	뉴욕주	220200	220000
220208	뉴저지주	220200	220000
220209	뉴햄프셔주	220200	220000
220210	델라웨어주	220200	220000
220211	로드아일랜드주	220200	220000
220212	로스앤젤레스	220200	220000
220213	루지애나주	220200	220000
220214	메릴랜드주	220200	220000
220215	메사추세츠주	220200	220000
220216	메인주	220200	220000
220217	몬타나주	220200	220000
220218	미네소타주	220200	220000
220219	미시건주	220200	220000
220220	미시시피주	220200	220000
220221	미주리주	220200	220000
220222	버먼트주	220200	220000
220223	버지니아주	220200	220000
220224	보스턴	220200	220000
220225	웨스트버지니아주	220200	220000
220226	사우스다코타주	220200	220000
220227	사우스캐롤라이나주	220200	220000
220228	시카고	220200	220000
220229	아이다호주	220200	220000
220230	아이오와주	220200	220000
220231	알래스카주	220200	220000
220232	알칸사주	220200	220000
220233	애리조나주	220200	220000
220234	앨라배마주	220200	220000
220235	오레건주	220200	220000
220236	오클라호마주	220200	220000
220237	오하이오주	220200	220000
220238	와이오밍주	220200	220000
220239	워싱턴 D.C	220200	220000
220240	워싱턴주	220200	220000
220241	위스콘신주	220200	220000
220242	유타주	220200	220000
220243	인디애나주	220200	220000
220244	일리노이주	220200	220000
220245	조지아주	220200	220000
220246	캔사스주	220200	220000
220247	캘리포니아주	220200	220000
220248	켄터키주	220200	220000
220249	코네티컷주	220200	220000
220250	콜로라도주	220200	220000
220251	테네시주	220200	220000
220252	텍사스주	220200	220000
220253	펜실베니아주	220200	220000
220254	플로리다주	220200	220000
220255	필라델피아	220200	220000
220256	하와이주	220200	220000
220299	미국기타	220200	220000
220300	캐나다	220300	220000
220400	그린란드	220400	220000
220500	도미니카공화국	220500	220000
220600	바베이도스	220600	220000
220700	바하마	220700	220000
220800	버뮤다	220800	220000
220900	세인트피에르미그온	220900	220000
221000	사이판	221000	220000
221100	세인트키츠네비스	221100	220000
221200	네덜란드령 안틸레스제도	221200	220000
221300	세인트루시아	221300	220000
221400	세인트빈센트그레나딘즈	221400	220000
221500	코스타리카	221500	220000
229900	북·중미기타	229900	220000
230000	남미전체	230000	230000
230100	과테말라	230100	230000
230200	베네수엘라	230200	230000
230300	브라질	230300	230000
230400	아르헨티나	230400	230000
230500	에콰도르	230500	230000
230600	온두라스	230600	230000
230700	우루과이	230700	230000
230800	칠레	230800	230000
230900	콜롬비아	230900	230000
231000	쿠바	231000	230000
231100	파나마	231100	230000
231200	페루	231200	230000
231300	가이아나	231300	230000
231400	과델루프	231400	230000
231500	기아나(프랑스령)	231500	230000
231600	니카라과	231600	230000
231700	도미니카연방	231700	230000
231800	마르티니크섬	231800	230000
232000	버진제도	232000	230000
232100	벨리즈	232100	230000
232200	볼리비아	232200	230000
232500	수리남	232500	230000
232600	아이티	232600	230000
232700	안길라	232700	230000
232800	엔티가바부다	232800	230000
232900	엘살바도르	232900	230000
233000	케이만제도	233000	230000
233200	터크스앤카이코스제도	233200	230000
233300	트리니나드토바고	233300	230000
233400	파라과이	233400	230000
233500	포클랜드제도	233500	230000
233600	푸에르토리코	233600	230000
239900	남미기타	239900	230000
240000	유럽전체	240000	240000
240100	그리스	240100	240000
240200	네덜란드	240200	240000
240300	노르웨이	240300	240000
240400	덴마크	240400	240000
240500	독일	240500	240000
240600	러시아	240600	240000
240700	벨기에	240700	240000
240800	스웨덴	240800	240000
240900	스위스	240900	240000
241000	스페인	241000	240000
241100	영국	241100	240000
241200	이탈리아	241200	240000
241300	체코	241300	240000
241400	터키	241400	240000
241500	포르투갈	241500	240000
241600	폴란드	241600	240000
241700	프랑스	241700	240000
241800	핀란드	241800	240000
241900	헝가리	241900	240000
242000	그라나다	242000	240000
242100	라트비아	242100	240000
242200	루마니아	242200	240000
242300	룩셈부르크	242300	240000
242400	리투아니아	242400	240000
242500	마케도니아	242500	240000
242600	모나코	242600	240000
242700	몰타	242700	240000
242800	몽트세라	242800	240000
242900	벨로루시	242900	240000
243000	보스니아헤르체고비나	243000	240000
243100	불가리아	243100	240000
243200	슬로베니아	243200	240000
243300	슬로바키아	243300	240000
243400	아루바	243400	240000
243600	아이슬란드	243600	240000
243700	아일랜드	243700	240000
243900	알바니아	243900	240000
244000	에스토니아	244000	240000
244100	오스트리아	244100	240000
244200	우크라이나	244200	240000
244300	신유고연방	244300	240000
244400	이스라엘	244400	240000
244500	지브롤터	244500	240000
244600	크로아티아	244600	240000
244700	키프로스	244700	240000
244800	페로제도	244800	240000
245100	산마리노	245100	240000
245200	바티칸시국	245200	240000
245300	몬테네그로	245300	240000
245400	몰도바	245400	240000
245500	리히텐슈타인	245500	240000
249900	유럽기타	249900	240000
250000	오세아니아전체	250000	250000
250100	괌	250100	250000
250200	뉴질랜드	250200	250000
250300	파푸아뉴기니	250300	250000
250400	피지	250400	250000
250500	호주	250500	250000
250600	뉴칼레도니아섬	250600	250000
250700	마샬군도	250700	250000
250800	바누아투	250800	250000
250900	사모아	250900	250000
251000	쿠크 군도	251000	250000
251100	키리바시	251100	250000
251200	통가	251200	250000
251300	투발루	251300	250000
251500	폴리네시아제도	251500	250000
251600	팔라우	251600	250000
251700	핏케언제도	251700	250000
251800	토켈라우제도	251800	250000
251900	솔로몬제도	251900	250000
252000	미크로네시아	252000	250000
252100	북마리아나군도	252100	250000
252200	나우루공화국	252200	250000
259900	오세아니아기타	259900	250000
260000	아프리카전체	260000	260000
260100	가나	260100	260000
260200	가봉	260200	260000
260300	나이지리아	260300	260000
260400	남아프리카공화국	260400	260000
260500	리비아	260500	260000
260600	모로코	260600	260000
260700	수단	260700	260000
260900	에티오피아	260900	260000
261000	우간다	261000	260000
261100	이집트	261100	260000
261200	케냐	261200	260000
261300	탄자니아	261300	260000
261400	튀니지	261400	260000
261500	감비아	261500	260000
261600	기니	261600	260000
261700	기니비소우	261700	260000
261800	나미비아	261800	260000
261900	니제르	261900	260000
262000	라이베리아	262000	260000
262100	르완다	262100	260000
262200	레뉴니용	262200	260000
262300	마다가스카르	262300	260000
262400	말라위	262400	260000
262500	말리	262500	260000
262600	모리타니아	262600	260000
262700	모잠비크	262700	260000
262800	베냉	262800	260000
262900	보츠와나	262900	260000
263000	부룬디	263000	260000
263100	부르키나파소	263100	260000
263200	세네갈	263200	260000
263300	세이셀제도	263300	260000
263400	세인트헬레나섬	263400	260000
263500	소말리아	263500	260000
263600	스와질랜드	263600	260000
263700	시에라리온	263700	260000
263800	코트디브아르	263800	260000
263900	알제리	263900	260000
264000	앙골라	264000	260000
264100	자마이카	264100	260000
264200	자이르	264200	260000
264300	잠비아	264300	260000
264400	적도기니	264400	260000
264500	중앙아프리카공화국	264500	260000
264600	지부티	264600	260000
264700	짐바브웨	264700	260000
264800	차드	264800	260000
264900	카메룬	264900	260000
265000	케이프버드	265000	260000
265100	콩고	265100	260000
265200	토고	265200	260000
265300	에리트레아	265300	260000
265400	상투메프린시페	265400	260000
265500	모리셔스	265500	260000
265600	콩고민주공화국	265600	260000
265700	코모로	265700	260000
265800	카보베르데	265800	260000
269900	아프리카기타	269900	260000
270000	남극대륙	270000	270000
280000	기타해외	280000	280000
